release_year,early_access
2018,False
2018,False
2017,False
2017,False
9999,False
2018,False
2018,False
2018,False
2018,False
2018,False
9999,True
9999,False
2018,False
2018,False
2018,False
2018,False
2018,False
2018,False
2018,False
9999,True
9999,True
2018,False
9999,True
2017,False
2017,False
2018,False
2018,False
1997,False
1998,False
2016,False
9999,False
2018,False
2018,False
2018,False
2018,False
2017,False
9999,False
2018,False
2018,False
2006,False
2006,False
2006,False
9999,False
2017,True
9999,True
9999,True
2017,True
2018,False
2017,False
2017,True
2017,False
9999,False
2017,False
9999,False
2017,False
2005,False
2006,False
2006,False
2006,False
2006,False
2006,False
2006,False
2003,False
2006,False
2006,False
2006,False
2005,False
2007,False
2006,False
2002,False
2000,False
2006,False
2003,False
2006,False
1998,False
2007,False
1995,False
2007,False
2006,False
2006,False
1996,False
2007,False
2006,False
1995,False
1995,False
1994,False
1994,False
2001,False
1997,False
1993,False
2003,False
2007,False
2007,False
2007,False
2006,False
2007,False
2006,False
2006,False
2004,False
2006,False
2007,False
1998,False
1999,False
2004,False
2003,False
2003,False
2006,False
2001,False
2008,False
2007,False
2007,False
2007,False
2007,False
2007,False
2008,False
2007,False
2006,False
2006,False
2007,False
2006,False
2006,False
2005,False
2003,False
1998,False
2008,False
2003,False
2004,False
2000,False
2006,False
2005,False
2008,False
2008,False
2008,False
2008,False
2008,False
2008,False
2005,False
2007,False
2007,False
2005,False
2007,False
2007,False
2006,False
2008,False
2005,False
2005,False
2006,False
2008,False
2008,False
2007,False
2008,False
2007,False
2008,False
2008,False
2008,False
2008,False
2007,False
2008,False
2008,False
1998,False
1997,False
2008,False
2001,False
1997,False
1993,False
2008,False
2008,False
2007,False
1998,False
2008,False
2008,False
2008,False
2008,False
2008,False
2003,False
2008,False
2008,False
2008,False
2008,False
2008,False
2006,False
2006,False
2005,False
2007,False
2008,False
2007,False
2002,False
2008,False
2008,False
2008,False
2008,False
2008,False
2008,False
2008,False
2008,False
2008,False
2009,False
2009,False
2009,False
2009,False
2009,False
2009,False
2009,False
2009,False
2008,False
2008,False
2009,False
2008,False
2009,False
2008,False
2007,False
2009,False
2005,False
2009,False
2009,False
2009,False
